   8   3 4.05+07 1.05+01 1.59+01 2.74+01 3.97+01 5.58+01 8.30+01 1.08+02 1.36+02
   8   5 2.22+06 1.03+00 1.55+00 2.62+00 3.73+00 5.13+00 7.44+00 9.51+00 1.18+01
  17   8 6.05+05 8.17-01 1.25+00 2.12+00 3.03+00 4.19+00 6.11+00 7.81+00 9.67+00
  18   8 1.09+05 2.41-01 3.67-01 6.13-01 8.69-01 1.19+00 1.72+00 2.18+00 2.69+00
  20   8 1.82+07 4.46+01 6.86+01 1.17+02 1.68+02 2.34+02 3.43+02 4.40+02 5.47+02
  21   8 7.17+06 1.04+01 1.60+01 2.74+01 3.98+01 5.58+01 8.26+01 1.07+02 1.33+02
  22   8 1.06+06 1.94+00 3.00+00 5.18+00 7.56+00 1.07+01 1.59+01 2.06+01 2.58+01
  23   8 1.34+06 7.28-01 1.14+00 2.00+00 2.97+00 4.26+00 6.49+00 8.51+00 1.08+01
  24   8 5.97+05 4.38-01 6.88-01 1.23+00 1.84+00 2.67+00 4.10+00 5.43+00 6.91+00
  25   8 2.10+04 3.53-02 5.35-02 8.97-02 1.27-01 1.74-01 2.50-01 3.18-01 3.91-01
  26   8 2.39+05 1.67-01 2.61-01 4.67-01 7.00-01 1.02+00 1.57+00 2.07+00 2.64+00
  27   8 1.94+04 9.43-04 1.84-03 4.56-03 8.79-03 1.58-02 3.05-02 4.57-02 6.39-02
  29   8 7.19+04 3.85-02 5.32-02 7.81-02 9.52-02 1.08-01 1.20-01 1.30-01 1.45-01
  31   8 1.31+04 1.93-02 2.78-02 4.42-02 5.87-02 7.37-02 9.30-02 1.07-01 1.20-01
  32   8 2.28+04 2.26+00 3.19+00 4.87+00 6.17+00 7.25+00 8.24+00 8.68+00 8.93+00
  33   8 2.20+04 6.87-01 9.77-01 1.52+00 1.96+00 2.36+00 2.77+00 2.98+00 3.13+00
  34   8 1.09+04 1.59-01 2.26-01 3.55-01 4.63-01 5.64-01 6.73-01 7.35-01 7.81-01
  35   8 4.51+04 5.86-02 8.48-02 1.37-01 1.84-01 2.33-01 2.93-01 3.33-01 3.67-01
  44   8 4.82+04 8.18-03 1.23-02 2.17-02 3.23-02 4.61-02 7.00-02 9.20-02 1.17-01
  45   8 1.63+02 9.55-03 1.36-02 2.15-02 2.81-02 3.40-02 3.98-02 4.26-02 4.43-02
  46   8 2.47+04 3.79-03 5.04-03 7.14-03 8.66-03 1.04-02 1.50-02 2.16-02 3.17-02
  51   8 3.07+03 1.46-03 2.18-03 3.71-03 5.14-03 6.53-03 7.94-03 8.62-03 9.10-03
   9   2 3.64+06 1.13+00 1.72+00 2.98+00 4.37+00 6.21+00 9.36+00 1.23+01 1.56+01
   9   3 2.83+07 6.35+00 9.64+00 1.67+01 2.43+01 3.43+01 5.13+01 6.69+01 8.44+01
   9   4 6.82+06 6.73-01 1.02+00 1.75+00 2.53+00 3.54+00 5.24+00 6.78+00 8.51+00
   9   5 1.00+06 3.96-01 6.00-01 1.02+00 1.45+00 2.01+00 2.93+00 3.76+00 4.68+00
  16   9 1.95+06 1.27+00 1.93+00 3.21+00 4.51+00 6.15+00 8.79+00 1.11+01 1.36+01
  17   9 3.66+05 7.09-01 1.07+00 1.77+00 2.48+00 3.36+00 4.78+00 6.02+00 7.36+00
  18   9 6.52+05 1.72+00 2.63+00 4.38+00 6.20+00 8.48+00 1.22+01 1.55+01 1.91+01
  21   9 1.33+07 2.42+01 3.72+01 6.32+01 9.08+01 1.26+02 1.85+02 2.38+02 2.95+02
  23   9 1.05+07 7.19+00 1.12+01 1.94+01 2.85+01 4.05+01 6.08+01 7.92+01 9.96+01
  24   9 8.61+04 1.18-01 1.80-01 3.02-01 4.29-01 5.89-01 8.51-01 1.08+00 1.34+00
  26   9 3.70+05 3.17-01 4.95-01 8.76-01 1.30+00 1.88+00 2.86+00 3.77+00 4.78+00
  27   9 7.58+05 1.81-01 2.91-01 5.46-01 8.58-01 1.30+00 2.11+00 2.87+00 3.75+00
  28   9 1.57+05 4.18-02 5.77-02 8.42-02 1.02-01 1.15-01 1.27-01 1.36-01 1.48-01
  29   9 7.62+03 5.67-02 8.03-02 1.23-01 1.57-01 1.88-01 2.20-01 2.38-01 2.51-01
  31   9 4.68+02 9.49-02 1.34-01 2.05-01 2.60-01 3.08-01 3.53-01 3.75-01 3.89-01
  33   9 1.08+03 1.30+00 1.83+00 2.81+00 3.58+00 4.25+00 4.88+00 5.19+00 5.38+00
  35   9 4.47+05 6.38-01 9.22-01 1.48+00 1.98+00 2.48+00 3.10+00 3.51+00 3.87+00
  44   9 6.80+04 4.01-02 5.50-02 8.09-02 9.88-02 1.12-01 1.26-01 1.38-01 1.57-01
  45   9 7.24+03 1.53-02 2.22-02 3.60-02 4.85-02 6.13-02 7.71-02 8.75-02 9.64-02
  51   9 6.42+05 7.66-02 1.16-01 2.04-01 3.02-01 4.29-01 6.37-01 8.20-01 1.02+00
  10   2 2.87+07 8.60+00 1.31+01 2.27+01 3.34+01 4.74+01 7.16+01 9.41+01 1.19+02
  10   3 9.30+06 2.02+00 3.07+00 5.30+00 7.74+00 1.09+01 1.64+01 2.13+01 2.69+01
  10   5 8.35+06 3.11+00 4.72+00 8.03+00 1.15+01 1.59+01 2.34+01 3.01+01 3.75+01
  17  10 2.31+06 4.54+00 6.89+00 1.14+01 1.60+01 2.18+01 3.11+01 3.93+01 4.81+01
